"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Comentarios,"Veces que se guardó"
18076437014379651,17841417953448304,tintaysoda.stream,"Tinta y Soda","¿Daniel Hadad presidente? 🇦🇷

🤔 ¿Para vos maneja más poder un presidente o el dueño de las noticias? 

👉🏼 ¡Hoy tenemos vivo a las 17:30! Pasa por nuestro programa para sumarte a la charla y compartir el vivo con nosotros. Link en la bio 📲🎙️",38,"09/02/2026 07:47",https://www.instagram.com/reel/Dcyenqruz97/,"Reel de Instagram",,Total,925,649,16,6,2,0,1
18074185100411851,17841417953448304,tintaysoda.stream,"Tinta y Soda","Nacen menos bebés en Argentina, pero las infecciones de transmisión sexual alcanzaron el récord más alto de la historia.

Según el Boletín Epidemiológico Nacional y un informe reciente de la UNLP, en 2025 se notificaron 46.779 casos de sífilis: un salto del 75,6% en apenas tres años.

¿Por qué se da este fenómeno mientras cae la natalidad? En la PARTE 2 te explicamos las razones que desmienten el relato oficial.

👉 Seguí a @tintaysoda.stream para no perderte la Parte 2.

#TintaySoda #SaludPublica #UNLP #salud #Stream",45,"09/07/2026 13:40",https://www.instagram.com/reel/Dc__UfcKuwr/,"Reel de Instagram",,Total,1251,893,36,7,1,0,4
18181798924423792,17841417953448304,tintaysoda.stream,"Tinta y Soda","Puntos en una app por matar soldados: la guerra gamer 🎮💥

Operadores a distancia manejan drones con joysticks. En Ucrania crearon una plataforma donde cada baja confirmada suma puntos canjeables por armamento real.

¿Estamos ante la mayor deshumanización de la historia? Opiná en comentarios 👇

#GuerraUcrania #Gamer #CounterStrike #geopolítica",35,"09/06/2026 08:35",https://www.instagram.com/reel/Dc83mYOKCek/,"Reel de Instagram",,Total,23067,14796,344,150,1,23,48
18105089357194435,17841417953448304,tintaysoda.stream,"Tinta y Soda","¿Cuánto sale tener un hijo/a en Argentina?

Con una Canasta de Crianza que supera los $600.000 mensuales por hijo, salarios licuados, alquileres y 48 de 50 políticas de cuidado desmanteladas, maternar se volvió un privilegio inaccesible para la juventud trabajadora.

No es que no se quieren tener hijos: es que el costo de vida te expulsa.

¿Vos llegás a fin de mes si sumás un hijo a la cuenta? Te leemos en comentarios 👇

👉 Seguí a @tintaysoda.stream para más análisis.

#Economia #Juventud #Crianza #Alquileres #INDEC TintaySoda",32,"09/05/2026 15:19",https://www.instagram.com/reel/Dc7BID6qZTz/,"Reel de Instagram",,Total,1484,910,44,6,0,0,2
18107449337525696,17841417953448304,tintaysoda.stream,"Tinta y Soda","¿Armas de guerra en el comedor de tu casa? 💻💣

El gobierno ucraniano compró el 60% de los drones comerciales del mundo y capacitó a 10.000 civiles por videollamada para ensamblar explosivos desde sus casas. De filmar casamientos a reventar trincheras militares.

¿Cuál es el siguiente paso? Los leemos abajo 👇

👉 Seguí a @tintaysoda.stream para sumarte al debate.

#guerraucrania #rusiaucrania #dronesmilitares #tecnologiabelica #geopolitica tintaysoda",22,"09/05/2026 08:30",https://www.instagram.com/reel/Dc6SYTDhes3/,"Reel de Instagram",,Total,4967,3090,86,9,0,2,5
17984639174876161,17841417953448304,tintaysoda.stream,"Tinta y Soda","El INDEC desmiente a Milei 📉👶

El discurso oficial culpa a los pañuelos verdes por el invierno demográfico. Sin embargo, las curvas históricas del INDEC demuestran que el 90% de la caída ocurrió mucho antes de 2020.

¿Relato ideológico para tapar la crisis o cambio de época? Los leemos abajo 👇

👉 Seguinos para sumarte al debate.",29,"09/04/2026 08:30",https://www.instagram.com/reel/Dc3tls4hhsn/,"Reel de Instagram",,Total,3630,2363,167,20,1,42,14
17899614855582913,17841417953448304,tintaysoda.stream,"Tinta y Soda","Cuando las votaciones en el Congreso abren preguntas necesarias 🏛️

¿Cuál es el camino que debe seguir la política frente al tablero judicial? La aprobación del pliego de Pablo Yadarola sorprendió a propios y ajenos, y plantea la necesidad de discutir de verdad qué acuerdos se tejen en el Senado.

¿Estrategia o contradicción? Dejá tu reflexión en comentarios 💬

📺 Sumate al vivo todos miércoles a las 17:30 hs por YouTube.",37,"09/03/2026 17:18",https://www.instagram.com/reel/Dc2FLxlKpCX/,"Reel de Instagram",,Total,488,337,16,4,0,1,2
